07:01:35: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 47] Logger initialized
07:01:46: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] Current Yaw: 1.57, Desired Yaw: -90.00
07:01:46: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 0.87, Y: 2.61, Z: 0.09
07:01:46: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] Current Yaw: 0.00, Desired Yaw: -45.00
07:01:47: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 1.67, Y: 2.50, Z: 0.08
07:01:47: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] Current Yaw: 0.00, Desired Yaw: -90.00
07:01:47: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 2.40, Y: 2.40, Z: 0.08
07:01:47: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] Current Yaw: 0.00, Desired Yaw: -135.00
07:01:48: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 2.31, Y: 1.54, Z: 0.08
07:01:48: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] Current Yaw: -1.57, Desired Yaw: -63.43
07:01:48: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 2.22, Y: 0.74, Z: 0.07
07:01:48: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] Current Yaw: -1.57, Desired Yaw: 270.00
07:01:49: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 2.14, Y: 0.00, Z: 0.07
07:01:49: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] Current Yaw: -1.57, Desired Yaw: 243.43
07:01:49: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 1.38, Y: 0.00, Z: 0.07
07:01:49: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] Current Yaw: -3.14, Desired Yaw: 315.00
07:01:50: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 0.67, Y: 0.00, Z: 0.07
07:01:50: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] Current Yaw: 3.14, Desired Yaw: -63.43
07:01:50: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 0.00, Y: 0.00, Z: 0.06
07:01:50: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] Current Yaw: -3.14, Desired Yaw: 270.00
07:01:51: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Worker Done
