22:53:53: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 48] Logger initialized
22:53:53: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 0.00, Y: 0.00, Z: 4.00
22:53:53: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 89] Generated command: CHANGE_ALTITUDE: 1
22:53:53: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 0.00, Y: 0.00, Z: 1.00
22:53:53: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 89] Generated command: CHANGE_ALTITUDE: -1
22:53:54: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 0.00, Y: 0.00, Z: 0.67
22:53:54: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 89] Generated command: CHANGING_YAW: -28.88010764112157
22:53:54: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 0.00, Y: 0.00, Z: 0.50
22:53:54: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 89] Generated command: CHANGING_YAW: -28.88010764112157
22:53:55: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 0.00, Y: 0.00, Z: 0.40
22:53:55: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 89] Generated command: CHANGING_YAW: -28.88010764112157
